Pull number,# of pulls,%,Cumulative %
1,2200,0.56%,0.56%
2,2200,0.56%,1.12%
3,2200,0.56%,1.67%
4,2200,0.56%,2.23%
5,2200,0.56%,2.79%
6,2200,0.56%,3.35%
7,2200,0.56%,3.91%
8,2200,0.56%,4.47%
9,2200,0.56%,5.02%
10,2200,0.56%,5.58%
11,2200,0.56%,6.14%
12,2200,0.56%,6.70%
13,2200,0.56%,7.26%
14,2200,0.56%,7.81%
15,2200,0.56%,8.37%
16,2200,0.56%,8.93%
17,2200,0.56%,9.49%
18,2200,0.56%,10.05%
19,2200,0.56%,10.61%
20,2200,0.56%,11.16%
21,2200,0.56%,11.72%
22,2200,0.56%,12.28%
23,2200,0.56%,12.84%
24,2200,0.56%,13.40%
25,2200,0.56%,13.95%
26,2200,0.56%,14.51%
27,2200,0.56%,15.07%
28,2200,0.56%,15.63%
29,2200,0.56%,16.19%
30,2200,0.56%,16.75%
31,2200,0.56%,17.30%
32,2200,0.56%,17.86%
33,2200,0.56%,18.42%
34,2200,0.56%,18.98%
35,2200,0.56%,19.54%
36,2200,0.56%,20.10%
37,2200,0.56%,20.65%
38,2200,0.56%,21.21%
39,2200,0.56%,21.77%
40,2200,0.56%,22.33%
41,2200,0.56%,22.89%
42,2200,0.56%,23.44%
43,2200,0.56%,24.00%
44,2200,0.56%,24.56%
45,2200,0.56%,25.12%
46,2200,0.56%,25.68%
47,2200,0.56%,26.24%
48,2200,0.56%,26.79%
49,2200,0.56%,27.35%
50,2200,0.56%,27.91%
51,2200,0.56%,28.47%
52,2200,0.56%,29.03%
53,2200,0.56%,29.58%
54,2200,0.56%,30.14%
55,2200,0.56%,30.70%
56,2200,0.56%,31.26%
57,2200,0.56%,31.82%
58,2200,0.56%,32.38%
59,2200,0.56%,32.93%
60,2200,0.56%,33.49%
61,2200,0.56%,34.05%
62,2200,0.56%,34.61%
63,2200,0.56%,35.17%
64,2200,0.56%,35.72%
65,2200,0.56%,36.28%
66,12316,3.12%,39.41%
67,21088,5.35%,44.76%
68,28146,7.14%,51.90%
69,32063,8.14%,60.04%
70,32769,8.31%,68.35%
71,35915,9.11%,77.46%
72,32749,8.31%,85.77%
73,25103,6.37%,92.14%
74,16339,4.15%,96.29%
75,8749,2.22%,98.51%
76,4128,1.05%,99.55%
77,1394,0.35%,99.91%
78,317,0.08%,99.99%
79,35,0.01%,100.00%
80,14,0.00%,100.00%
,394125,,